# Constructed from biom file																							
#OTU ID	S1	S10	S11	S12	S13	S15	S16	S17	S18	S2	S20	S21	S22	S23	S24	S3	S4	S5	S6	S7	S8	S9	Taxonomy
129	943	0	0	0	447	57	110	47	39	1052	0	0	0	0	0	141	209	105	81	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
130	154	0	0	0	189	256	690	196	301	307	0	0	0	0	0	238	689	80	115	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia
131	38	49	622	67	92	0	0	0	13	0	45	444	64	146	9	0	0	0	9	1472	78	67	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Blastococcus; s__jejuensis
132	132	108	326	188	116	160	114	73	167	86	145	120	181	165	56	74	211	81	71	179	130	311	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
133	215	46	568	464	232	19	0	0	0	140	37	434	198	141	42	0	0	89	0	46	115	374	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
134	53	0	0	0	100	691	546	109	201	257	94	0	0	88	224	285	368	0	131	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
135	0	569	35	39	0	0	33	0	0	0	334	70	124	370	912	8	0	22	0	41	289	269	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae
136	0	41	393	411	95	29	0	0	122	26	171	669	305	176	62	0	0	206	187	0	0	179	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
137	0	277	193	315	0	0	76	0	0	0	265	30	152	954	117	0	0	0	0	198	63	414	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
138	212	0	148	134	248	496	170	80	124	46	20	99	88	61	0	299	285	74	78	222	103	47	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__occulta
139	0	252	227	185	0	0	0	0	0	0	163	194	329	274	563	0	0	0	0	277	302	228	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Stella
140	39	763	97	320	0	7	0	24	15	46	183	23	151	241	17	0	35	0	0	180	58	775	k__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanocellales; f__Methanocellaceae; g__Methanocella; s__
