;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal
;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry
;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;AH;Soil
;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02
Time;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts
0.602;0.00;44712.00;292.00;1217.00;3544.00;2627.00;0.00;160.00;1438.00;10614.00;0.00;0.00;172.00;225.00;0.00;0.00;150.00;0.00;5193.00;0.00;662.00;27050.00;0.00;172.00
0.608;190.00;43298.00;245.00;1829.00;2521.00;2904.00;0.00;208.00;1811.00;10360.00;191.00;0.00;336.00;0.00;0.00;175.00;0.00;0.00;5464.00;0.00;1144.00;26559.00;0.00;596.00
0.614;155.00;44789.00;235.00;1411.00;3314.00;2720.00;0.00;165.00;1853.00;11203.00;0.00;398.00;0.00;160.00;0.00;371.00;212.00;0.00;4965.00;0.00;1035.00;26271.00;0.00;416.00
0.619;0.00;42313.00;0.00;1770.00;2346.00;2372.00;0.00;151.00;1786.00;11035.00;0.00;160.00;176.00;386.00;0.00;0.00;198.00;0.00;4689.00;0.00;1020.00;26193.00;0.00;682.00
0.625;0.00;45464.00;176.00;1404.00;2332.00;2098.00;0.00;382.00;1488.00;10612.00;156.00;0.00;639.00;154.00;0.00;217.00;0.00;0.00;5548.00;154.00;1003.00;25604.00;0.00;315.00
0.631;0.00;43353.00;212.00;1544.00;3536.00;1820.00;0.00;0.00;1314.00;11474.00;160.00;0.00;189.00;151.00;0.00;0.00;0.00;0.00;4800.00;0.00;1488.00;25415.00;0.00;240.00
0.637;0.00;43418.00;282.00;1236.00;2980.00;1915.00;0.00;157.00;869.00;10640.00;0.00;335.00;176.00;160.00;0.00;178.00;171.00;0.00;4974.00;0.00;1216.00;26461.00;0.00;334.00
0.642;158.00;42666.00;256.00;1184.00;2543.00;2691.00;0.00;0.00;1994.00;11432.00;345.00;0.00;0.00;192.00;0.00;154.00;395.00;0.00;4722.00;0.00;560.00;26021.00;0.00;398.00
0.648;343.00;45006.00;474.00;1227.00;3193.00;2257.00;216.00;0.00;1397.00;11067.00;0.00;0.00;0.00;339.00;0.00;0.00;158.00;0.00;5560.00;0.00;1092.00;25079.00;0.00;416.00
0.654;0.00;43987.00;285.00;1228.00;2917.00;1911.00;0.00;211.00;1507.00;9755.00;169.00;0.00;0.00;195.00;0.00;181.00;0.00;0.00;5274.00;0.00;1361.00;24151.00;0.00;0.00
0.659;0.00;45318.00;169.00;1101.00;3364.00;2115.00;0.00;165.00;734.00;11190.00;231.00;164.00;362.00;328.00;150.00;0.00;453.00;0.00;5888.00;0.00;699.00;25460.00;0.00;339.00
